Time,Set Temperature,Ventilation Temperature,Supply Air Temperature,Supply Fan,Valve Position,Heating Supply Temperature 1,Heating Supply Temperature 2,Total Heating Pump,Heating Pump 1,Heating Pump 2,Backup Heating Pump,Labeling,
2024-01-01 00,18,22.57,35.7,1,10,42.5,42.27,2,1,0,1,Sensor fault,
2024-01-01 01,18,22.36,35.63,1,10,42.41,42.33,2,1,0,1,Sensor fault,
2024-01-01 02,18,22.22,35.52,1,10,42.87,42.24,2,1,0,1,Sensor fault,
2024-01-01 03,18,22.12,35.55,1,10,42.99,42.21,2,1,0,1,Sensor fault,
2024-01-01 04,18,22.04,35.47,1,10,42.7,42.25,2,1,0,1,Sensor fault,
2024-01-01 05,18,22.09,35.54,1,10,42.43,42.32,2,1,0,1,Sensor fault,
2024-01-01 06,18,22.08,35.59,1,10,42.4,42.27,2,1,0,1,Sensor fault,
2024-01-01 07,18,22.13,35.53,1,10,43.04,42.27,2,1,0,1,Sensor fault,
2024-01-01 08,18,22.11,35.59,1,10,42.99,42.28,2,1,0,1,Sensor fault,
2024-01-01 09,18,22.13,35.63,1,10,42.73,42.24,2,1,0,1,Sensor fault,
2024-01-01 10,18,22.23,35.68,1,10,42.47,42.36,2,1,0,1,Sensor fault,
2024-01-01 11,18,22.44,35.84,1,10,42.42,42.28,2,1,0,1,Sensor fault,
2024-01-01 12,18,22.74,35.95,1,10,43.02,42.32,2,1,0,1,Sensor fault,
2024-01-01 13,18,22.86,36.03,1,10,42.94,42.38,2,1,0,1,Sensor fault,
2024-01-01 14,18,23.06,36.17,1,10,42.65,42.41,2,1,0,1,Sensor fault,
2024-01-01 15,18,23.17,36.18,1,10,42.49,42.34,2,1,0,1,Sensor fault,
2024-01-01 16,18,23.34,36.27,1,10,42.44,42.26,2,1,0,1,Sensor fault,
2024-01-01 17,18,23.33,36.21,1,10,43.1,42.3,2,1,0,1,Sensor fault,
2024-01-01 18,18,23.31,36.2,1,10,43.08,42.31,2,1,0,1,Sensor fault,
2024-01-01 19,18,23.29,36.24,1,10,42.79,42.36,2,1,0,1,Sensor fault,
2024-01-01 20,18,23.18,36.16,1,10,42.52,42.35,2,1,0,1,Sensor fault,
2024-01-01 21,18,23.15,36.19,1,10,42.46,42.35,2,1,0,1,Sensor fault,
2024-01-01 22,18,23.14,36.08,1,10,43.02,42.27,2,1,0,1,Sensor fault,
2024-01-01 23,18,23.1,36.1,1,10,43.22,42.34,2,1,0,1,Sensor fault,
2024-01-02 00,18,23.05,36.07,1,10,42.93,42.29,2,1,0,1,Sensor fault,
2024-01-02 01,18,23.08,36.12,1,10,42.6,42.27,2,1,0,1,Sensor fault,
2024-01-02 02,18,23.11,36.13,1,10,42.48,42.33,2,1,0,1,Sensor fault,
2024-01-02 03,18,23.1,36.12,1,10,42.83,42.29,2,1,0,1,Sensor fault,
2024-01-02 04,18,22.98,35.96,1,10,43.1,42.31,2,1,0,1,Sensor fault,
2024-01-02 05,18,22.85,35.92,1,10,42.8,42.26,2,1,0,1,Sensor fault,
2024-01-02 06,18,22.31,35.78,1,10,42.54,42.27,2,1,0,1,Sensor fault,
2024-01-02 07,18,22.74,35.96,1,10,42.43,42.25,2,1,0,1,Sensor fault,
2024-01-02 08,18,22.11,35.78,1,10,42.77,42.55,2,1,0,1,Sensor fault,
2024-01-02 09,18,21.69,35.79,1,10,42.88,42.72,2,1,0,1,Sensor fault,
2024-01-02 10,18,21.93,35.81,1,10,42.75,42.7,2,1,0,1,Sensor fault,
2024-01-02 11,18,21.75,35.76,1,10,42.69,42.71,2,1,0,1,Sensor fault,
2024-01-02 12,18,21.25,35.43,0.6,10,42.67,42.88,2,1,0,1,Sensor fault,
2024-01-03 08,18,21.13,35.62,1,10,42.56,42.74,2,1,0,1,Sensor fault,
2024-01-03 09,18,21.08,35.59,1,10,42.63,42.82,2,1,0,1,Sensor fault,
2024-01-03 13,18,21.02,35.07,1,10,43.76,34.79,1.2,0,1,0.2,Sensor fault,
2024-01-03 14,18,21.1,35.77,1,10,44.01,35.5,1,0,1,0,Sensor fault,
2024-01-03 15,18,21.21,35.91,1,10,44.13,39.48,1,0,1,0,Sensor fault,
2024-01-03 16,18,21.28,36,1,10,44.11,41.17,1,0,1,0,Sensor fault,
2024-01-03 17,18,21.33,35.98,1,10,44.21,41.91,1,0,1,0,Sensor fault,
2024-01-03 18,18,21.35,36.07,1,10,44.16,42.25,1,0,1,0,Sensor fault,
2024-01-03 19,18,21.45,36,1,10,44.22,42.41,1,0,1,0,Sensor fault,
2024-01-04 03,18,21.24,34.8,1,10.03,43.05,42.44,2,0,1,1,Sensor fault,
2024-01-04 04,18,21.26,34.8,1,10.03,43.04,42.49,2,0,1,1,Sensor fault,
2024-01-04 05,18,21.27,34.92,1,10.03,43.05,42.48,2,0,1,1,Sensor fault,
2024-01-04 06,18,21.31,34.82,1,10.03,43,42.41,2,0,1,1,Sensor fault,
2024-01-04 07,18,21.73,34.95,1,10.03,42.97,42.34,2,0,1,1,Sensor fault,
2024-01-07 18,22,25.25,36.74,1,10.03,43.04,42.7,2,0,1,1,Sensor fault,
2024-01-07 19,22,25.27,36.75,1,10.03,43.26,42.77,2,0,1,1,Sensor fault,
2024-01-07 20,22,25.27,36.74,1,10.03,43.28,42.69,2,0,1,1,Sensor fault,
2024-01-07 21,22,25.34,36.72,1,10.03,43.3,42.72,2,0,1,1,Sensor fault,
2024-01-07 22,22,25.35,36.69,1,10.03,43.28,42.73,2,0,1,1,Sensor fault,
2024-01-07 23,22,25.42,36.78,1,10.03,43.3,42.78,2,0,1,1,Sensor fault,
2024-01-08 00,22,25.36,36.75,1,10.03,43.28,42.76,2,0,1,1,Sensor fault,
2024-01-08 01,22,25.46,36.81,1,10.03,43.24,42.8,2,0,1,1,Sensor fault,
2024-01-08 02,22,25.53,36.86,1,10.03,43.23,42.8,2,0,1,1,Sensor fault,
2024-01-08 03,22,25.62,36.85,1,10.03,43.18,42.8,2,0,1,1,Sensor fault,
2024-01-08 04,22,25.61,36.85,1,10.03,43.19,42.79,2,0,1,1,Sensor fault,
2024-01-08 05,22,25.45,36.82,1,10.03,43.14,42.86,2,0,1,1,Sensor fault,
2024-01-08 06,22,25.16,36.76,1,10.03,43.81,43.5,2,0,1,1,Sensor fault,
2024-01-08 14,22,18.11,32.5,0,10,44.92,42.76,1,0,0,1,Fan fault,
2024-01-08 15,22,17.66,32.16,0,10,44.23,42.81,1,0,0,1,Fan fault,
2024-01-08 16,22,17.53,32.01,0,10,43.73,42.77,1,0,0,1,Fan fault,
2024-01-08 17,22,17.44,32.91,0,10,43.2,42.77,1,0,0,1,Fan fault,
2024-01-08 18,22,17.26,32.57,0,10,42.95,42.87,1,0,0,1,Fan fault,
2024-01-08 19,22,17.29,33.11,0,10,42.9,42.82,1,0,0,1,Fan fault,
2024-01-08 21,22,18.91,35.57,0.4,29.33,43.34,42.69,1,0,0,1,Sensor fault,
2024-01-13 07,22,12.46,17.83,0,9.89,23.46,25.36,1,0,0,1,Fan fault,
2024-01-13 08,22,12.19,17.39,0,9.89,22.93,24.71,1,0,0,1,Fan fault,
2024-01-13 09,22,11.93,16.96,0,9.9,25.55,24.96,1,0,0,1,Fan fault,
2024-01-13 10,22,12.21,20.65,0,9.89,41.85,32.27,1,0,0,1,Fan fault,
2024-01-13 11,22,14.16,25.81,0,9.89,39.42,34.06,1,0,0,1,Fan fault,
2024-01-13 12,22,15.5,26.87,0,9.9,37.39,34.83,1,0,0,1,Fan fault,
2024-01-13 13,22,15.95,26.59,0,9.9,35.77,35.04,1,0,0,1,Fan fault,
2024-01-13 14,22,16.01,25.85,0,9.9,34.38,34.92,1,0,0,1,Fan fault,
2024-01-13 15,22,15.83,25.02,0,9.89,33.11,34.55,1,0,0,1,Fan fault,
2024-01-13 16,22,15.62,24.2,0,9.9,32.01,33.83,1,0,0,1,Fan fault,
2024-01-13 17,22,15.24,23.3,0,9.9,30.95,32.9,1,0,0,1,Fan fault,
2024-01-13 18,22,14.85,22.5,0,9.89,29.96,31.9,1,0,0,1,Fan fault,
2024-01-13 19,22,14.45,21.63,0,9.9,29.06,30.91,1,0,0,1,Fan fault,
2024-01-14 07,22,11.18,16.09,0,9.89,21.33,22.72,1,0,0,1,Fan fault,
2024-01-14 08,22,11.05,15.81,0,9.89,20.91,22.25,1,0,0,1,Fan fault,
2024-01-14 09,22,10.98,15.52,0,9.89,20.48,21.78,1,0,0,1,Fan fault,
2024-01-14 10,22,10.98,15.3,0,9.89,20.14,21.35,1,0,0,1,Fan fault,
2024-01-14 11,22,10.92,14.99,0,9.89,19.82,20.92,1,0,0,1,Fan fault,
2024-01-14 12,22,11,14.89,0,9.89,19.85,20.55,1,0,0,1,Fan fault,
2024-01-14 13,22,11.09,14.72,0,9.89,19.84,20.28,1,0,0,1,Fan fault,
2024-01-14 14,22,11.09,14.65,0,9.89,19.78,20.12,1,0,0,1,Fan fault,
2024-01-14 15,22,11.08,14.65,0,9.89,19.91,19.97,1,0,0,1,Fan fault,
2024-01-14 16,22,11.11,14.61,0,9.89,19.9,19.87,1,0,0,1,Fan fault,
2024-01-14 17,22,11.1,14.57,0,9.89,19.73,19.78,1,0,0,1,Fan fault,
2024-01-14 18,22,11.04,14.57,0,9.9,19.76,19.69,1,0,0,1,Fan fault,
2024-01-14 19,22,11.03,14.52,0,9.89,19.72,19.61,1,0,0,1,Fan fault,
2024-01-15 05,22,15.4,30.9,0.5,40.07,40.4,34.46,1,0,0,1,Sensor fault,
2024-01-15 06,22,17.84,35.85,1,62.7,41.16,37.52,1,0,0,1,Sensor fault,
2024-01-15 07,24,18.32,37.15,0.83,51.39,43.48,42.17,1.5,0,0.5,1,Sensor fault,
2024-01-15 08,22,18.58,38.43,1,62.71,44.63,44.33,1.6,0,0.6,1,Sensor fault,
2024-01-16 07,20,14.03,25.55,0.5,32.54,38.77,32.92,1,0,0,1,Sensor fault,
